configuration,axis,stencil_width_k,status,reason,n_stencils,n_values,beta_q05,beta_q25,beta_median,beta_q75,beta_q95
"40 x 100,000 (current)",V,2,not_estimable,no realised-label group contains the required 5 nodes,0,,,,,,
"40 x 100,000 (current)",V,3,not_estimable,no realised-label group contains the required 7 nodes,0,,,,,,
"40 x 100,000 (current)",V,4,not_estimable,no realised-label group contains the required 9 nodes,0,,,,,,
"40 x 100,000 (current)",rho,1,not_estimable,no realised-label group contains the required 3 nodes,0,,,,,,
"40 x 100,000 (current)",rho,2,not_estimable,no realised-label group contains the required 5 nodes,0,,,,,,
"40 x 100,000 (current)",rho,3,not_estimable,no realised-label group contains the required 7 nodes,0,,,,,,
"40 x 100,000 (current)",rho,4,not_estimable,no realised-label group contains the required 9 nodes,0,,,,,,
"60 x 66,667",k_io,1,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"60 x 66,667",k_io,2,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"60 x 66,667",k_io,3,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"60 x 66,667",k_io,4,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"60 x 66,667",V,1,not_estimable,no realised-label group contains the required 3 nodes,0,,,,,,
"60 x 66,667",V,2,not_estimable,no realised-label group contains the required 5 nodes,0,,,,,,
"60 x 66,667",V,3,not_estimable,no realised-label group contains the required 7 nodes,0,,,,,,
"60 x 66,667",V,4,not_estimable,no realised-label group contains the required 9 nodes,0,,,,,,
"60 x 66,667",rho,1,not_estimable,no realised-label group contains the required 3 nodes,0,,,,,,
"60 x 66,667",rho,2,not_estimable,no realised-label group contains the required 5 nodes,0,,,,,,
"60 x 66,667",rho,3,not_estimable,no realised-label group contains the required 7 nodes,0,,,,,,
"60 x 66,667",rho,4,not_estimable,no realised-label group contains the required 9 nodes,0,,,,,,
"80 x 50,000",k_io,1,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"80 x 50,000",k_io,2,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"80 x 50,000",k_io,3,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"80 x 50,000",k_io,4,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"80 x 50,000",V,1,not_estimable,no realised-label group contains the required 3 nodes,0,,,,,,
"80 x 50,000",V,2,not_estimable,no realised-label group contains the required 5 nodes,0,,,,,,
"80 x 50,000",V,3,not_estimable,no realised-label group contains the required 7 nodes,0,,,,,,
"80 x 50,000",V,4,not_estimable,no realised-label group contains the required 9 nodes,0,,,,,,
"80 x 50,000",rho,1,not_estimable,no realised-label group contains the required 3 nodes,0,,,,,,
"80 x 50,000",rho,2,not_estimable,no realised-label group contains the required 5 nodes,0,,,,,,
"80 x 50,000",rho,3,not_estimable,no realised-label group contains the required 7 nodes,0,,,,,,
"80 x 50,000",rho,4,not_estimable,no realised-label group contains the required 9 nodes,0,,,,,,
"100 x 40,000",k_io,1,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"100 x 40,000",k_io,2,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"100 x 40,000",k_io,3,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"100 x 40,000",k_io,4,not_estimable,"the pilot k_io axis is {0, 20, 130} s^-1 (includes zero and is not a symmetric log grid), so the declared log-grid central-stencil formula does not apply",0,,,,,,
"100 x 40,000",V,1,not_estimable,no realised-label group contains the required 3 nodes,0,,,,,,
"100 x 40,000",V,2,not_estimable,no realised-label group contains the required 5 nodes,0,,,,,,
"100 x 40,000",V,3,not_estimable,no realised-label group contains the required 7 nodes,0,,,,,,
"100 x 40,000",V,4,not_estimable,no realised-label group contains the required 9 nodes,0,,,,,,
"100 x 40,000",rho,1,not_estimable,no realised-label group contains the required 3 nodes,0,,,,,,
"100 x 40,000",rho,2,not_estimable,no realised-label group contains the required 5 nodes,0,,,,,,
"100 x 40,000",rho,3,not_estimable,no realised-label group contains the required 7 nodes,0,,,,,,
"100 x 40,000",rho,4,not_estimable,no realised-label group contains the required 9 nodes,0,,,,,,
